SDB BB KHTN KHXH
BD1200154 16.450001 0.000000 19.000000
BD1200155 11.300000 0.000000 15.500000
BD1200156 15.500000 16.250000 0.000000
BD1200157 10.450000 0.000000 16.750000
BD1200158 19.200001 0.000000 22.000000
BD1200159 18.950001 0.000000 22.250000
BD1200161 11.850000 9.750000 19.250000
BD1200162 11.650001 0.000000 16.750000
BD1200163 20.900000 18.250000 0.000000
BD1200164 17.450001 0.000000 23.000000
BD1200165 12.700001 8.250000 16.250000
BD1200166 13.900001 0.000000 18.000000
BD1200167 18.600000 0.000000 25.250000
BD1200168 10.550000 8.500000 15.750000
BD1200169 15.500000 18.500000 0.000000
BD1200170 11.799999 0.000000 18.000000
BD1200171 16.000000 0.000000 21.000000
BD1200172 17.350000 15.000000 0.000000
BD1200173 13.100000 0.000000 14.000000
BD1200174 14.650000 14.250000 0.000000
BD1200175 13.049999 0.000000 13.750000
BD1200176 16.000000 0.000000 17.250000
BD1200177 12.400000 0.000000 16.250000
BD1200178 8.400000 0.000000 6.500000
BD1200179 18.250000 14.250000 18.250000
BD1200180 13.100000 13.500000 0.000000
BD1200181 15.200001 9.500000 0.000000
BD1200182 10.750000 0.000000 19.250000
BD1200183 16.750000 0.000000 19.000000
BD1200184 13.400000 0.000000 21.000000
BD1200185 14.400000 15.500000 16.750000
BD1200186 10.750000 8.750000 13.500000
BD1200187 10.950001 0.000000 14.500000
BD1200188 12.650000 0.000000 19.000000
BD1200189 9.850000 9.000000 16.750000
BD1200190 19.250000 0.000000 20.750000
BD1200191 17.200001 0.000000 17.750000
BD1200192 8.799999 0.000000 12.000000
BD1200193 20.799999 0.000000 15.000000
BD1200194 12.400000 8.500000 18.750000
BD1200195 16.099998 0.000000 18.500000
BD1200196 19.700001 14.500000 0.000000
BD1200197 19.500000 17.750000 0.000000
BD1200198 13.100000 9.750000 17.000000
BD1200199 11.800000 14.750000 0.000000
BD1200200 19.600000 18.000000 0.000000
BD1200201 17.549999 18.750000 0.000000
BD1200202 19.049999 16.250000 0.000000
BD1200203 18.049999 0.000000 19.750000
BD1200204 14.100000 0.000000 17.500000
BD1200205 18.350000 14.750000 0.000000
BD1200206 7.750000 0.000000 14.500000
BD1200207 13.750000 0.000000 15.750000
BD1200208 15.700000 12.500000 0.000000
BD1200209 22.100000 0.000000 21.000000
BD1200210 13.599999 12.250000 0.000000
BD1200211 16.549999 13.750000 0.000000
BD1200212 14.250000 12.250000 0.000000
BD1200213 16.400000 0.000000 19.000000
BD1200214 17.750000 15.500000 0.000000
BD1200215 15.250000 11.500000 19.500000
BD1200216 15.650000 14.500000 0.000000
BD1200217 15.850000 16.750000 0.000000
BD1200218 17.100000 0.000000 18.250000
BD1200219 23.500000 18.000000 0.000000
BD1200220 5.450000 0.000000 2.750000
BD1200221 17.950001 17.250000 0.000000
BD1200222 20.799999 19.500000 0.000000
BD1200223 21.200001 16.750000 0.000000
BD1200224 18.400000 0.000000 24.000000
BD1200225 13.250000 8.000000 13.500000
BD1200226 16.150000 17.000000 0.000000
BD1200227 13.700000 0.000000 18.000000
BD1200228 7.050000 0.000000 11.000000
BD1200229 12.299999 0.000000 16.250000
BD1200230 19.200001 13.500000 0.000000
BD1200231 13.849999 0.000000 16.000000
BD1200232 17.799999 17.000000 0.000000
BD1200233 15.850000 16.750000 0.000000
BD1200234 16.450001 11.000000 0.000000
BD1200235 9.700000 0.000000 15.000000
BD1200236 12.799999 0.000000 19.500000
BD1200237 17.900000 17.500000 0.000000
BD1200238 16.049999 16.500000 0.000000
BD1200239 13.100000 12.750000 16.250000
BD1200240 12.099999 9.500000 14.000000
BD1200241 12.800000 0.000000 16.250000
BD1200242 23.150000 17.750000 0.000000
BD1200243 18.750000 14.250000 0.000000
BD1200244 17.100000 8.500000 16.750000
BD1200245 13.400000 0.000000 23.000000
BD1200246 15.300000 0.000000 19.500000
BD1200247 17.500000 9.500000 0.000000
BD1200248 19.000000 15.000000 0.000000
BD1200249 21.000000 0.000000 19.750000
BD1200250 10.700000 0.000000 18.750000
BD1200251 13.650000 15.750000 0.000000
BD1200252 17.400000 0.000000 22.500000
BD1200253 16.500000 0.000000 18.250000
BD1200254 6.950000 0.000000 2.500000
BD1200255 15.100000 14.500000 0.000000
BD1200256 11.750000 0.000000 17.750000
BD1200257 19.700001 16.000000 0.000000
BD1200258 17.250000 18.500000 0.000000
BD1200259 7.800000 0.000000 16.500000
BD1200260 12.750000 7.250000 16.500000
BD1200261 15.950000 0.000000 19.500000
BD1200262 15.400000 17.500000 0.000000
BD1200263 10.500000 0.000000 13.250000
BD1200264 13.400000 0.000000 11.000000
BD1200265 13.100000 8.000000 14.250000
BD1200266 11.300000 0.000000 18.750000
BD1200267 11.000000 0.000000 14.000000
BD1200268 19.500000 20.000000 0.000000
BD1200269 7.200000 0.000000 10.000000
BD1200270 15.000000 0.000000 16.000000
BD1200271 16.200001 13.750000 22.250000
BD1200272 16.299999 0.000000 14.750000
BD1200273 20.450001 15.500000 0.000000
BD1200274 13.550000 0.000000 17.500000
BD1200275 17.900000 0.000000 17.000000
BD1200276 18.650000 19.500000 0.000000
BD1200277 16.799999 14.250000 0.000000
BD1200278 20.000000 0.000000 18.250000
BD1200279 12.850000 0.000000 17.500000
BD1200280 18.450001 0.000000 17.500000
BD1200281 18.200001 11.000000 0.000000
BD1200282 16.350000 16.750000 0.000000
BD1200283 21.600000 13.500000 22.000000
BD1200284 22.299999 17.000000 0.000000
BD1200285 16.250000 18.500000 0.000000
BD1200286 16.400000 12.250000 0.000000
BD1200287 16.100000 0.000000 14.000000
BD1200288 17.799999 0.000000 19.000000
BD1200289 4.600000 11.750000 0.000000
BD1200290 17.500000 13.750000 0.000000
BD1200291 18.600000 18.500000 20.750000
BD1200292 16.950001 13.750000 0.000000
BD1200293 15.800000 0.000000 21.250000
BD1200294 17.250000 18.750000 0.000000
BD1200295 15.550000 0.000000 18.750000
BD1200296 11.600000 0.000000 18.000000
BD1200297 17.400000 0.000000 15.750000
BD1200298 22.250000 21.750000 0.000000
BD1200299 19.350000 15.500000 0.000000
BD1200300 9.600000 0.000000 13.250000
BD1200301 12.850000 0.000000 19.000000
BD1200302 15.250000 0.000000 21.250000
BD1200303 18.600000 18.750000 23.000000
BD1200304 11.850000 6.000000 14.000000
BD1200305 25.600000 0.000000 20.250000
BD1200306 9.300000 8.250000 16.750000
BD1200307 10.700000 8.750000 17.000000
BD1200308 10.050000 9.000000 16.500000
BD1200309 16.700001 0.000000 24.000000
BD1200310 11.300000 0.000000 19.500000
BD1200311 19.799999 17.750000 0.000000
BD1200312 12.799999 0.000000 15.750000
BD1200313 14.500000 15.500000 0.000000
BD1200314 14.250000 0.000000 18.250000
BD1200315 14.650000 12.750000 0.000000
BD1200316 11.799999 0.000000 17.000000
BD1200317 11.700001 0.000000 14.750000
BD1200318 16.700001 16.250000 0.000000
BD1200319 16.200001 0.000000 21.750000
BD1200320 19.049999 16.000000 0.000000
BD1200321 10.950000 12.500000 12.750000
BD1200322 15.650000 14.750000 0.000000
BD1200323 17.000000 15.750000 0.000000
BD1200324 14.800000 10.500000 0.000000
BD1200325 15.350000 0.000000 18.500000
BD1200326 17.100000 21.750000 0.000000
BD1200327 16.200001 0.000000 16.250000
BD1200328 19.900000 0.000000 19.750000
BD1200329 12.200001 0.000000 17.500000
BD1200330 13.800000 0.000000 19.750000
BD1200331 10.500000 0.000000 13.750000
BD1200332 16.799999 0.000000 21.500000
BD1200333 13.750000 9.750000 17.250000
BD1200334 19.150000 16.500000 0.000000
BD1200335 11.700000 10.500000 0.000000
BD1200336 10.150000 0.000000 17.000000
BD1200337 22.799999 0.000000 21.500000
BD1200338 17.450001 18.250000 0.000000
BD1200339 13.150000 9.250000 19.500000
BD1200340 19.650000 14.000000 0.000000
BD1200341 19.600000 18.000000 0.000000
BD1200342 9.400000 0.000000 11.500000
BD1200343 15.900000 16.000000 0.000000
BD1200344 14.900000 7.500000 16.750000
BD1200345 17.799999 0.000000 20.750000
BD1200346 17.549999 17.750000 0.000000
BD1200347 13.550000 0.000000 17.250000
BD1200348 15.300000 6.000000 19.250000
BD1200349 14.799999 0.000000 23.000000
BD1200350 20.950001 15.750000 0.000000
BD1200351 16.150000 0.000000 13.500000
BD1200352 12.650000 0.000000 16.250000
BD1200353 15.600000 0.000000 19.250000
BD1200354 13.000000 0.000000 17.750000
BD1200355 12.599999 11.000000 0.000000
BD1200356 17.150000 0.000000 19.250000
BD1200357 11.200000 0.000000 17.250000
BD1200358 6.850000 0.000000 13.000000
BD1200359 14.800000 15.250000 0.000000
BD1200360 15.200001 0.000000 17.750000
BD1200361 16.300001 0.000000 16.500000
BD1200362 19.650002 19.750000 0.000000
BD1200363 19.200001 19.000000 14.000000
BD1200364 12.300000 0.000000 13.750000
BD1200365 12.400001 0.000000 15.250000
BD1200366 17.250000 15.000000 0.000000
BD1200367 10.300000 6.250000 13.750000
BD1200368 19.549999 0.000000 19.500000
BD1200369 21.500000 17.500000 0.000000
BD1200370 16.350000 9.500000 21.750000
BD1200371 13.599999 16.250000 0.000000
BD1200372 17.900000 18.250000 0.000000
BD1200373 14.400000 0.000000 18.500000
BD1200374 11.700000 13.500000 0.000000
BD1200375 17.299999 16.750000 0.000000
BD1200376 21.200001 19.500000 0.000000
BD1200377 14.100000 13.250000 17.750000
BD1200379 13.750000 7.750000 18.500000
BD1200380 9.850000 0.000000 17.500000
BD1200381 21.349998 20.500000 0.000000
BD1200382 12.300000 0.000000 21.000000
BD1200383 18.000000 13.000000 0.000000
BD1200384 20.750000 0.000000 22.000000
BD1200385 13.250000 14.250000 0.000000
BD1200386 15.349999 14.500000 0.000000
BD1200387 9.400000 0.000000 13.750000
BD1200388 16.250000 15.000000 0.000000
BD1200389 13.700001 10.250000 18.250000
BD1200390 21.049999 17.750000 0.000000
BD1200391 10.000000 0.000000 13.500000
BD1200392 12.850000 0.000000 19.000000
BD1200393 18.100000 17.000000 0.000000
BD1200394 18.000000 15.500000 0.000000
BD1200395 10.500000 0.000000 12.250000
BD1200396 14.650000 0.000000 18.500000
BD1200397 14.100000 11.750000 0.000000
BD1200398 14.250000 10.000000 0.000000
BD1200399 17.599998 0.000000 18.750000
BD1200400 17.850000 0.000000 26.250000
BD1200401 18.099998 19.750000 0.000000
BD1200402 9.950000 0.000000 18.000000
BD1200403 19.950001 19.750000 0.000000
BD1200404 18.299999 0.000000 22.750000
BD1200405 16.750000 0.000000 23.000000
BD1200406 22.400000 20.500000 0.000000
BD1200407 7.800000 14.000000 0.000000
BD1200408 19.250000 16.000000 0.000000
BD1200409 17.500000 0.000000 21.750000
BD1200410 11.799999 0.000000 18.500000
BD1200411 14.150001 0.000000 21.250000
BD1200412 7.200000 14.250000 0.000000
BD1200413 15.400000 14.750000 0.000000
BD1200414 13.400000 7.750000 15.500000
BD1200415 17.250000 0.000000 19.000000
BD1200416 19.600000 14.500000 17.500000
BD1200417 20.400000 20.250000 0.000000
BD1200418 11.900000 0.000000 17.500000
BD1200419 11.500000 0.000000 15.000000
BD1200420 17.650002 0.000000 19.250000
BD1200421 10.000000 8.500000 15.500000
BD1200422 18.600000 18.250000 0.000000
BD1200423 19.850000 0.000000 20.000000
BD1200424 14.400000 15.750000 0.000000
BD1200425 15.200000 0.000000 18.250000
BD1200426 12.250000 0.000000 15.500000
BD1200427 19.200001 17.000000 0.000000
BD1200428 15.350000 0.000000 18.500000
BD1200429 13.650000 0.000000 18.500000
